Id;Label
0;bangladesh
1;criticitˆ
2;denunciato
3;divisi
4;contenere
5;persone
6;mandato
7;causa
8;mare
9;lungo
10;effettuati
11;isolamento
12;nota
13;400
14;chiesto
15;520
16;allontanati
17;fuga
18;fuori
19;settembre
20;attivi
21;intervista
22;maio
23;dentro
24;espresso
25;ammatuna
26;avere
27;disponibili
28;contagio
29;73
30;governatrice
31;grido
32;398
33;48
34;6371
35;amministrativo
36;assessore
37;bollettino
38;calabrese
39;decisione
40;destinata
41;dislocate
42;fermo
43;finta
44;gara
45;gestiti
46;giardino
47;jole
48;lordinanza
49;mascherine
50;1100
51;1300
52;238
53;350
54;360
55;64
56;90
57;abbassare
58;accogliente
59;adottate
60;affondo
61;agenti
62;aggiornato
63;aggiudicata
64;aggiunta
65;agorˆ
66;aita
67;alan
68;pubblica
69;ingresso
70;algerina
71;allagi
72;alloggiativa
73;alti
74;amato
75;amministrazioni
76;ammiraglio
77;annuncio
78;ansa
79;anzi
80;appelli
81;appreso
82;arrendevolezza
83;assicurati
84;atteggiamento
85;attento
86;attuare
87;autonomo
88;buono
89;cagliari
90;cala
91;calerˆ
92;campagna
93;capisca
94;carbonia
95;carenze
96;casomai
97;cautela
98;chiamare
99;chiederemo
100;chiesa
101;chiuderˆ
102;commerciali
103;commissariato
104;competenti
105;comprendano
106;comuni
107;comunicata
108;concluso
109;concordato
110;condizionare
111;condurre
112;configura
113;confronto
114;consentirˆ
115;considerazione
116;continuato
117;contribuendo
118;controllati
119;convulsioni
120;costo
121;credo
122;crescendo
123;crescente
124;crocierasoggiorno
125;cura
126;dallarme
127;danni
128;decreto
129;dedicati
130;destinati
131;determinato
132;dichiarare
133;dirottate
134;dislocati
135;dispongo
136;diventare
137;diverso
138;dovessero
139;dovremo
140;drasticamente
141;elettorale
142;enti
143;entravano
144;epidemiologici
145;esame
146;esistenti
147;esulta
148;esultare
149;evacuazione
150;eventi
151;famoso
152;fanpageit
153;fase
154;filosofia
155;finalmente
156;finisce
157;firmata
158;friuli
159;garantiremo
160;gioacchino
161;gioia
162;giovane
163;giulia
164;grave
165;impedirle
166;imposto
167;impresa
168;impugnino
169;inchiesta
170;indipendente
171;inizialmente
172;iniziando
173;insisto
174;interministeriale
175;internodifesatrasporti
176;interrotto
177;intervenute
178;intesa
179;ispezioni
180;istituzionale
181;kurdi
182;lemergenza
183;logistica
184;malgrado
185;mari
186;marittima
187;mediche
188;merita
189;michele
190;gommoni
191;quarantena
192;dieci
193;cento
194;hotspot
195;sostegno
196;politica
197;entrambi
198;provenienti
199;anticovid
200;mette
201;profughi
202;condizioni
203;casa
204;56mila
205;allimpennata
206;allisola
207;alto
208;aumentato
209;commentato
210;dallalba
211;dellaccoglienza
212;dimentica
213;dirla
214;domenicale
215;esodo
216;festeggiano
217;generali
218;incapace
219;ioniche
220;lalba
221;lattenzione
222;civili
223;lennesimo
224;lingresso
225;litalia
226;impiego
227;lockdown
228;solidarietˆ
229;minoranza
230;minorenne
231;necessari
232;contagi
233;nellarea
234;nellhotspot
235;nottata
236;ospite
237;peggio
238;poniamo
239;professionisti
240;questo
241;reazione
242;reazioni
243;reggino
244;arrivata
245;accordi
246;altra
247;obbligo
248;incurante
249;italia
250;civile
